,id,dist,task
632,39420,16.661412261415183,38
633,39425,16.665424635958612,38
634,39429,16.666661821670214,38
635,39430,16.688868103742053,38
636,39432,16.692803219479007,38
637,39433,16.6932879405557,38
638,39434,16.69647993425558,38
639,39435,16.69621347472768,38
640,39436,16.70249235748966,38
641,39437,16.70332638838997,38
642,39439,16.705711005883195,38
643,39441,16.70548229898237,38
644,39442,16.72072600369009,38
645,39443,16.717965200994257,38
646,39444,16.727467612474985,38
647,39450,16.73302665538547,38
648,39451,16.732420668451287,38
649,39454,16.729415105053945,39
650,39455,16.726411546403458,39
651,39458,16.7234099904947,39
652,39460,16.720410435325235,39
653,39461,16.716756572838175,39
654,39464,16.7133119344713,39
655,39466,16.710319034396782,39
656,39469,16.707328126438327,39
657,39470,16.704562664987012,39
658,39471,16.701576273824514,39
659,39472,16.698591868055704,39
660,39475,16.695609445701358,39
661,39476,16.69262900478489,39
662,39477,16.689650543332345,39
663,39483,16.68458227490827,39
664,39484,16.68161137641341,39
665,39486,16.67887683381624,39
666,39487,16.675767100311493,39
667,39488,16.672802846172814,39
668,39489,16.6696902686029,39
669,39492,16.671383548470875,40
670,39498,16.66785261550745,40
671,39503,16.66719518328118,40
672,39504,16.664366373902133,40
673,39505,16.663753788826785,40
674,39509,16.658105482303956,40
675,39510,16.652655403207387,40
676,39513,16.65038732418655,40
677,39516,16.648495052226497,40
678,39517,16.647444460428698,40
679,39519,16.667331098838837,40
680,39520,16.672022484909114,40
681,39521,16.68919596627721,40
682,39525,16.688215674624608,40
683,39527,16.69755589174651,40
684,39528,16.698637576602792,40
685,39530,16.72503805378268,40
686,39532,16.731011075622295,41
687,39533,16.73436209056262,41
688,39534,16.732911737520034,41
689,39537,16.73620625564229,41
690,39543,16.736769836952917,41
691,39546,16.736694195156222,41
692,39547,16.734782291880578,41
693,39548,16.735063783025176,41
694,39550,16.734989648033125,41
695,39553,16.73162027123483,41
696,39555,16.739795547988148,41
697,39556,16.742073094344846,41
698,39557,16.746393423184855,41
699,39559,16.744760099763752,41
700,39560,16.742400336594088,41
701,39563,16.74035668756325,41
702,39566,16.740633967914157,41
703,39567,16.73682553012807,41
704,39568,16.740569315693552,41
705,39571,16.737802282713325,41
706,39573,16.739283682424258,42
707,39579,16.73816554517541,42
708,39583,16.737472176711336,42
709,39586,16.738400339104633,42
710,39588,16.73632210426157,42
711,39589,16.735659954674517,42
712,39590,16.734672359480356,42
713,39592,16.730779486845957,42
714,39594,16.728975969752682,42
715,39595,16.726814129990196,42
716,39597,16.72465498335745,42
717,39598,16.72675360703128,42
718,39599,16.72764382799511,42
719,39600,16.72605705717351,42
720,39602,16.72369363844689,42
721,39604,16.722344397938848,42
